dt_sale;id_sku;ds_sku;ds_category;ds_product_line;ds_brand_segment;ds_tecnology;qt_sale;vl_sale_price
2019-01-01 00:00:00;1;AeroJet;Aero Boot;Boot;Target;NanoMesh;37873;876388,4791
2019-01-01 00:00:00;2;FlyQuest;Aero Boot;Boot;Target;LiteWeave;32881;832876,3526
2019-01-01 00:00:00;3;AirVoyager;Aero Boot;Boot;Target;AeroKnit;17849;398926,2618
2019-01-01 00:00:00;4;Classic;Classic Sneaker;Sneaker;Target;PowerKnit;69531;1104861,055
2019-01-01 00:00:00;5;Brand Classic;Classic Sneaker;Sneaker;Target;PowerKnit;21138;442648,4596
2019-01-01 00:00:00;6;National Classic;Classic Sneaker;Sneaker;Target;BioSole;11481;213782,0145
2019-01-01 00:00:00;7;Hold Line;Designed Shoes;Shoes;Core;DynaFit;6967;238569,3276
2019-01-01 00:00:00;8;High Bys;Designed Shoes;Shoes;Core;DynaFit;6300;256246,2348
2019-01-01 00:00:00;9;High Iris;Designed Shoes;Shoes;Core;DynaFit;4946;170806,1579
2019-01-01 00:00:00;10;Cone Stars;Designed Shoes;Shoes;Core;AirVent;3742;200646,5232
2019-01-01 00:00:00;11;Wave;Infinity Boot;Boot;Target;AeroKnit;30253;572705,9869
2019-01-01 00:00:00;12;Athena II;Infinity Boot;Boot;Target;LiteWeave;25726;632877,0502
2019-01-01 00:00:00;13;Hiking;Infinity Boot;Boot;Target;AeroKnit;26183;621587,0844
2019-01-01 00:00:00;14;Zeus;Infinity Boot;Boot;Target;LiteWeave;15924;333150,9668
2019-01-01 00:00:00;15;Air;Infinity Boot;Boot;Target;LiteWeave;5150;87559,28992
2019-01-01 00:00:00;16;Nautical Classic;Innovation Shoes;Shoes;Core;AeroKnit;109180;1875712,777
2019-01-01 00:00:00;17;Nautical Max Force;Innovation Shoes;Shoes;Core;AeroKnit;95183;1466780,311
2019-01-01 00:00:00;18;Play4;Innovation Shoes;Shoes;Core;AeroKnit;82840;1433147,39
2019-01-01 00:00:00;19;Mandala Life;Innovation Shoes;Shoes;Core;AeroKnit;72014;1209117,683
2019-01-01 00:00:00;20;Merlin;Innovation Shoes;Shoes;Core;AeroKnit;68075;739976,8783
2019-01-01 00:00:00;22;MachinaMetal;Metal Sandal;Sandals;Core;UltraFoam;143605;1762036,21
2019-01-01 00:00:00;23;SteelEngineer;Metal Sandal;Sandals;Core;NanoMesh;74101;1158947,901
2019-01-01 00:00:00;24;TitaniumTech;Metal Sandal;Sandals;Core;NanoMesh;46541;839609,6256
2019-01-01 00:00:00;25;AlloyInnovate;Metal Sandal;Sandals;Core;NanoMesh;18544;231617,7031
2019-01-01 00:00:00;26;SteelTech;Metal Shoes;Shoes;Core;NanoMesh;51076;755928,6815
2019-01-01 00:00:00;27;AlloyMaster;Metal Shoes;Shoes;Core;AeroKnit;51283;1088243,451
2019-01-01 00:00:00;28;MetalForge;Metal Shoes;Shoes;Core;NanoMesh;10595;175888,7185
2019-01-01 00:00:00;29;IronCraft;Metal Shoes;Shoes;Core;PowerKnit;8011;182494,891
2019-01-01 00:00:00;30;TitaniumTech;Metal Shoes;Shoes;Core;NanoMesh;5289;179053,3119
2019-01-01 00:00:00;34;Max;Price Sneakers;Sneakers;Core;UltraFoam;125262;1132372,168
2019-01-01 00:00:00;35;Classic Price;Price Sneakers;Sneakers;Core;UltraFoam;22224;200461,9103
2019-01-01 00:00:00;36;Hawaii;Price Sneakers;Sneakers;Core;AeroKnit;18454;269804,1526
2019-01-01 00:00:00;37;Top Sport;Price Sneakers;Sneakers;Core;AeroKnit;11226;123270,5876
2019-01-01 00:00:00;38;Comfort;Universe Sandals;Sandals;Core;DuraFlex;18059;447880,7158
2019-01-01 00:00:00;39;Hawaii;Universe Sandals;Sandals;Core;NanoMesh;10290;229683,856
2019-02-01 00:00:00;1;AeroJet;Aero Boot;Boot;Target;NanoMesh;41558;1012359,801
2019-02-01 00:00:00;2;FlyQuest;Aero Boot;Boot;Target;LiteWeave;36017;893229,0127
2019-02-01 00:00:00;3;AirVoyager;Aero Boot;Boot;Target;AeroKnit;20701;454604,3582
2019-02-01 00:00:00;4;Classic;Classic Sneaker;Sneaker;Target;PowerKnit;81588;1272784,118
2019-02-01 00:00:00;5;Brand Classic;Classic Sneaker;Sneaker;Target;PowerKnit;24986;492731,5176
2019-02-01 00:00:00;6;National Classic;Classic Sneaker;Sneaker;Target;BioSole;13922;259245,7456
2019-02-01 00:00:00;7;Hold Line;Designed Shoes;Shoes;Core;DynaFit;8013;272929,2859
2019-02-01 00:00:00;8;High Bys;Designed Shoes;Shoes;Core;DynaFit;7305;304629,8426
2019-02-01 00:00:00;9;High Iris;Designed Shoes;Shoes;Core;DynaFit;6001;220499,7811
2019-02-01 00:00:00;10;Cone Stars;Designed Shoes;Shoes;Core;AirVent;4156;222872,3922
2019-02-01 00:00:00;11;Wave;Infinity Boot;Boot;Target;AeroKnit;34566;656763,7354
2019-02-01 00:00:00;12;Athena II;Infinity Boot;Boot;Target;LiteWeave;29116;715402,2805
2019-02-01 00:00:00;13;Hiking;Infinity Boot;Boot;Target;AeroKnit;29318;695430,1529
2019-02-01 00:00:00;14;Zeus;Infinity Boot;Boot;Target;LiteWeave;17820;342679,7432
2019-02-01 00:00:00;15;Air;Infinity Boot;Boot;Target;LiteWeave;5783;90042,5756
2019-02-01 00:00:00;16;Nautical Classic;Innovation Shoes;Shoes;Core;AeroKnit;124969;2155727,34
2019-02-01 00:00:00;17;Nautical Max Force;Innovation Shoes;Shoes;Core;AeroKnit;108024;1700297,969
2019-02-01 00:00:00;18;Play4;Innovation Shoes;Shoes;Core;AeroKnit;94110;1590468,382
2019-02-01 00:00:00;19;Mandala Life;Innovation Shoes;Shoes;Core;AeroKnit;82343;1402309,163
2019-02-01 00:00:00;20;Merlin;Innovation Shoes;Shoes;Core;AeroKnit;78053;848442,1742
2019-02-01 00:00:00;22;MachinaMetal;Metal Sandal;Sandals;Core;UltraFoam;165227;2015773,726
2019-02-01 00:00:00;23;SteelEngineer;Metal Sandal;Sandals;Core;NanoMesh;88516;1367586,286
2019-02-01 00:00:00;24;TitaniumTech;Metal Sandal;Sandals;Core;NanoMesh;53333;949867,5703
2019-02-01 00:00:00;25;AlloyInnovate;Metal Sandal;Sandals;Core;NanoMesh;21628;273386,6666
2019-02-01 00:00:00;26;SteelTech;Metal Shoes;Shoes;Core;NanoMesh;59837;877216,0506
2019-02-01 00:00:00;27;AlloyMaster;Metal Shoes;Shoes;Core;AeroKnit;58925;1250399,542
2019-02-01 00:00:00;28;MetalForge;Metal Shoes;Shoes;Core;NanoMesh;12471;211023,0092
2019-02-01 00:00:00;29;IronCraft;Metal Shoes;Shoes;Core;PowerKnit;9473;214107,3017
2019-02-01 00:00:00;30;TitaniumTech;Metal Shoes;Shoes;Core;NanoMesh;6168;208789,5064
2019-02-01 00:00:00;34;Max;Price Sneakers;Sneakers;Core;UltraFoam;148691;1321867,738
2019-02-01 00:00:00;35;Classic Price;Price Sneakers;Sneakers;Core;UltraFoam;25367;228057,8843
2019-02-01 00:00:00;36;Hawaii;Price Sneakers;Sneakers;Core;AeroKnit;21791;316189,2422
2019-02-01 00:00:00;37;Top Sport;Price Sneakers;Sneakers;Core;AeroKnit;13363;148601,2487
2019-02-01 00:00:00;38;Comfort;Universe Sandals;Sandals;Core;DuraFlex;20853;521544,0191
2019-02-01 00:00:00;39;Hawaii;Universe Sandals;Sandals;Core;NanoMesh;11824;263448,9947
2019-03-01 00:00:00;1;AeroJet;Aero Boot;Boot;Target;NanoMesh;35159;850165,9763
2019-03-01 00:00:00;2;FlyQuest;Aero Boot;Boot;Target;LiteWeave;30884;786002,9697
2019-03-01 00:00:00;3;AirVoyager;Aero Boot;Boot;Target;AeroKnit;18710;411631,8714
2019-03-01 00:00:00;4;Classic;Classic Sneaker;Sneaker;Target;PowerKnit;77575;1207847,428
2019-03-01 00:00:00;5;Brand Classic;Classic Sneaker;Sneaker;Target;PowerKnit;23639;451754,4882
2019-03-01 00:00:00;6;National Classic;Classic Sneaker;Sneaker;Target;BioSole;14071;262017,0954
2019-03-01 00:00:00;7;Hold Line;Designed Shoes;Shoes;Core;DynaFit;7583;259265,1688
2019-03-01 00:00:00;8;High Bys;Designed Shoes;Shoes;Core;DynaFit;7127;288165,4353
2019-03-01 00:00:00;9;High Iris;Designed Shoes;Shoes;Core;DynaFit;5752;209914,36
2019-03-01 00:00:00;10;Cone Stars;Designed Shoes;Shoes;Core;AirVent;3748;200976,104
2019-03-01 00:00:00;11;Wave;Infinity Boot;Boot;Target;AeroKnit;30491;575062,2063
2019-03-01 00:00:00;12;Athena II;Infinity Boot;Boot;Target;LiteWeave;25289;606185,3611
2019-03-01 00:00:00;13;Hiking;Infinity Boot;Boot;Target;AeroKnit;25716;609998,4606
2019-03-01 00:00:00;14;Zeus;Infinity Boot;Boot;Target;LiteWeave;15350;321598,713
2019-03-01 00:00:00;15;Air;Infinity Boot;Boot;Target;LiteWeave;5140;91558,00835
2019-03-01 00:00:00;16;Nautical Classic;Innovation Shoes;Shoes;Core;AeroKnit;112185;1909399,188
2019-03-01 00:00:00;17;Nautical Max Force;Innovation Shoes;Shoes;Core;AeroKnit;97236;1504245,965
2019-03-01 00:00:00;18;Play4;Innovation Shoes;Shoes;Core;AeroKnit;84950;1485778,768
2019-03-01 00:00:00;19;Mandala Life;Innovation Shoes;Shoes;Core;AeroKnit;73987;1261483,229
2019-03-01 00:00:00;20;Merlin;Innovation Shoes;Shoes;Core;AeroKnit;72960;793084,7032
2019-03-01 00:00:00;22;MachinaMetal;Metal Sandal;Sandals;Core;UltraFoam;153254;1888092,293
2019-03-01 00:00:00;23;SteelEngineer;Metal Sandal;Sandals;Core;NanoMesh;86008;1294432,672
2019-03-01 00:00:00;24;TitaniumTech;Metal Sandal;Sandals;Core;NanoMesh;50668;886186,1333
2019-03-01 00:00:00;25;AlloyInnovate;Metal Sandal;Sandals;Core;NanoMesh;20470;247490,5399
2019-03-01 00:00:00;26;SteelTech;Metal Shoes;Shoes;Core;NanoMesh;56503;833424,1939
2019-03-01 00:00:00;27;AlloyMaster;Metal Shoes;Shoes;Core;AeroKnit;55894;1186087,614
2019-03-01 00:00:00;28;MetalForge;Metal Shoes;Shoes;Core;NanoMesh;12059;200785,8391
2019-03-01 00:00:00;29;IronCraft;Metal Shoes;Shoes;Core;PowerKnit;9273;210881,6119
2019-03-01 00:00:00;30;TitaniumTech;Metal Shoes;Shoes;Core;NanoMesh;5848;197976,6346
2019-03-01 00:00:00;34;Max;Price Sneakers;Sneakers;Core;UltraFoam;148209;1333887,245
2019-03-01 00:00:00;35;Classic Price;Price Sneakers;Sneakers;Core;UltraFoam;22818;204683,7063
2019-03-01 00:00:00;36;Hawaii;Price Sneakers;Sneakers;Core;AeroKnit;21814;313251,1472
2019-03-01 00:00:00;37;Top Sport;Price Sneakers;Sneakers;Core;AeroKnit;12991;143425,6295
2019-03-01 00:00:00;38;Comfort;Universe Sandals;Sandals;Core;DuraFlex;19080;469963,482
2019-03-01 00:00:00;39;Hawaii;Universe Sandals;Sandals;Core;NanoMesh;11101;259003,8888
2019-04-01 00:00:00;1;AeroJet;Aero Boot;Boot;Target;NanoMesh;33344;776594,3276
2019-04-01 00:00:00;2;FlyQuest;Aero Boot;Boot;Target;LiteWeave;28278;727888,9714
2019-04-01 00:00:00;3;AirVoyager;Aero Boot;Boot;Target;AeroKnit;17322;383858,0468
2019-04-01 00:00:00;4;Classic;Classic Sneaker;Sneaker;Target;PowerKnit;78117;1221765,383
2019-04-01 00:00:00;5;Brand Classic;Classic Sneaker;Sneaker;Target;PowerKnit;24275;482840,6108
2019-04-01 00:00:00;6;National Classic;Classic Sneaker;Sneaker;Target;BioSole;15097;281123,6232
2019-04-01 00:00:00;7;Hold Line;Designed Shoes;Shoes;Core;DynaFit;7242;245222,6415
2019-04-01 00:00:00;8;High Bys;Designed Shoes;Shoes;Core;DynaFit;6407;259064,394
2019-04-01 00:00:00;9;High Iris;Designed Shoes;Shoes;Core;DynaFit;5590;205179,5433
2019-04-01 00:00:00;10;Cone Stars;Designed Shoes;Shoes;Core;AirVent;3398;182246,8222
2019-04-01 00:00:00;11;Wave;Infinity Boot;Boot;Target;AeroKnit;30225;556459,3335
2019-04-01 00:00:00;12;Athena II;Infinity Boot;Boot;Target;LiteWeave;24520;587512,6732
2019-04-01 00:00:00;13;Hiking;Infinity Boot;Boot;Target;AeroKnit;24898;590345,572
2019-04-01 00:00:00;14;Zeus;Infinity Boot;Boot;Target;LiteWeave;14975;319436,9903
2019-04-01 00:00:00;15;Air;Infinity Boot;Boot;Target;LiteWeave;4926;84197,33403
2019-04-01 00:00:00;16;Nautical Classic;Innovation Shoes;Shoes;Core;AeroKnit;108583;1862204,926
2019-04-01 00:00:00;17;Nautical Max Force;Innovation Shoes;Shoes;Core;AeroKnit;95448;1486132,976
2019-04-01 00:00:00;18;Play4;Innovation Shoes;Shoes;Core;AeroKnit;81047;1407790,894
2019-04-01 00:00:00;19;Mandala Life;Innovation Shoes;Shoes;Core;AeroKnit;70888;1213615,216
2019-04-01 00:00:00;20;Merlin;Innovation Shoes;Shoes;Core;AeroKnit;69547;755984,487
2019-04-01 00:00:00;22;MachinaMetal;Metal Sandal;Sandals;Core;UltraFoam;157640;1937406,577
2019-04-01 00:00:00;23;SteelEngineer;Metal Sandal;Sandals;Core;NanoMesh;87514;1374847,205
2019-04-01 00:00:00;24;TitaniumTech;Metal Sandal;Sandals;Core;NanoMesh;51114;981916,4806
2019-04-01 00:00:00;25;AlloyInnovate;Metal Sandal;Sandals;Core;NanoMesh;21732;273607,4469
2019-04-01 00:00:00;26;SteelTech;Metal Shoes;Shoes;Core;NanoMesh;55666;826088,7983
2019-04-01 00:00:00;27;AlloyMaster;Metal Shoes;Shoes;Core;AeroKnit;57636;1223042,035
2019-04-01 00:00:00;28;MetalForge;Metal Shoes;Shoes;Core;NanoMesh;12472;207410,8843
2019-04-01 00:00:00;29;IronCraft;Metal Shoes;Shoes;Core;PowerKnit;9575;215249,0229
2019-04-01 00:00:00;30;TitaniumTech;Metal Shoes;Shoes;Core;NanoMesh;6003;203228,4187
2019-04-01 00:00:00;34;Max;Price Sneakers;Sneakers;Core;UltraFoam;153863;1363231,436
2019-04-01 00:00:00;35;Classic Price;Price Sneakers;Sneakers;Core;UltraFoam;24345;217162,6919
2019-04-01 00:00:00;36;Hawaii;Price Sneakers;Sneakers;Core;AeroKnit;22924;332402,9443
2019-04-01 00:00:00;37;Top Sport;Price Sneakers;Sneakers;Core;AeroKnit;13478;149741,036
2019-04-01 00:00:00;38;Comfort;Universe Sandals;Sandals;Core;DuraFlex;17791;428428,7933
2019-04-01 00:00:00;39;Hawaii;Universe Sandals;Sandals;Core;NanoMesh;10328;241180,4984
2019-05-01 00:00:00;1;AeroJet;Aero Boot;Boot;Target;NanoMesh;33109;782037,6935
2019-05-01 00:00:00;2;FlyQuest;Aero Boot;Boot;Target;LiteWeave;28774;750155,6581
2019-05-01 00:00:00;3;AirVoyager;Aero Boot;Boot;Target;AeroKnit;16991;369566,5043
2019-05-01 00:00:00;4;Classic;Classic Sneaker;Sneaker;Target;PowerKnit;78976;1241503,763
2019-05-01 00:00:00;5;Brand Classic;Classic Sneaker;Sneaker;Target;PowerKnit;24361;472372,3076
2019-05-01 00:00:00;6;National Classic;Classic Sneaker;Sneaker;Target;BioSole;15454;287764,3387
2019-05-01 00:00:00;7;Hold Line;Designed Shoes;Shoes;Core;DynaFit;7476;254416,6669
2019-05-01 00:00:00;8;High Bys;Designed Shoes;Shoes;Core;DynaFit;6627;261248,5149
2019-05-01 00:00:00;9;High Iris;Designed Shoes;Shoes;Core;DynaFit;5693;208670,0927
2019-05-01 00:00:00;10;Cone Stars;Designed Shoes;Shoes;Core;AirVent;3628;194581,4786
2019-05-01 00:00:00;11;Wave;Infinity Boot;Boot;Target;AeroKnit;30001;582326,2664
2019-05-01 00:00:00;12;Athena II;Infinity Boot;Boot;Target;LiteWeave;24379;586822,4197
2019-05-01 00:00:00;13;Hiking;Infinity Boot;Boot;Target;AeroKnit;24720;585142,1223
2019-05-01 00:00:00;14;Zeus;Infinity Boot;Boot;Target;LiteWeave;14846;314449,2303
2019-05-01 00:00:00;15;Air;Infinity Boot;Boot;Target;LiteWeave;4937;87794,39533
2019-05-01 00:00:00;16;Nautical Classic;Innovation Shoes;Shoes;Core;AeroKnit;106412;1830300,208
2019-05-01 00:00:00;17;Nautical Max Force;Innovation Shoes;Shoes;Core;AeroKnit;95438;1495519,879
2019-05-01 00:00:00;18;Play4;Innovation Shoes;Shoes;Core;AeroKnit;80816;1406206,532
2019-05-01 00:00:00;19;Mandala Life;Innovation Shoes;Shoes;Core;AeroKnit;72280;1255508,35
2019-05-01 00:00:00;20;Merlin;Innovation Shoes;Shoes;Core;AeroKnit;70275;1384419,771
